ds,yhat,yhat_lower,yhat_upper
2023-10-05,4307.1439960574635,4108.382595747449,4485.469651163944
2023-10-06,4308.270957459706,4120.4857376960035,4483.6320417515535
2023-10-09,4303.447089953037,4117.253345940817,4482.231353833231
2023-10-10,4300.911331611382,4105.245777145654,4487.440094169699
2023-10-11,4296.568248797866,4111.586829816401,4472.958658401707
2023-10-12,4297.049694373042,4114.59444095781,4486.385370470359
2023-10-13,4298.983106233574,4114.181049189803,4485.0440694761
2023-10-16,4297.585783864712,4125.799008878001,4494.152209154294
2023-10-17,4296.571860746018,4104.388758281703,4470.707992478676
2023-10-18,4293.949237490611,4102.745314650193,4479.396448961559
2023-10-19,4296.347022412226,4109.792334449036,4473.219406821315
2023-10-20,4300.384764660143,4126.840615408206,4486.555420154268
2023-10-23,4306.28019420645,4114.712892608111,4495.263118022444
2023-10-24,4307.954939232549,4122.6376619098955,4479.650973894713
2023-10-25,4308.107943830125,4113.73310800616,4478.055583555202
2023-10-26,4313.340155134393,4119.302783558296,4496.217145147468
2023-10-27,4320.241988830925,4140.712899608702,4504.790852017638
2023-10-30,4334.616829103213,4164.035462588387,4514.646533697326
2023-10-31,4338.988212814347,4156.6993912460375,4516.192098405839
2023-11-01,4341.731167381381,4165.927900225675,4516.589211156772
2023-11-02,4349.425104418568,4165.626365877172,4551.595270086977
2023-11-03,4358.641686805334,4164.582739546037,4556.423670970258
2023-11-06,4388.112513838835,4201.198094971305,4568.200968536627
2023-11-07,4397.141292958513,4220.769722252042,4582.008884057426
2023-11-08,4404.3447593486335,4221.067832807479,4576.627822532341
2023-11-09,4416.300197238017,4230.9049059463,4580.360376999936
2023-11-10,4429.579099912471,4229.467680184321,4618.929747411234
2023-11-13,4460.884697158486,4277.576708084767,4641.4041739589575
2023-11-14,4470.14408987931,4284.25080235947,4663.181908449688
2023-11-15,4477.393973042569,4276.414924151507,4665.414096381017
2023-11-16,4489.215245466033,4323.547874482241,4684.032312348266
2023-11-17,4502.182560041614,4320.629218182561,4678.838361544642
2023-11-20,4531.5109106103555,4341.100420552186,4729.962734350658
2023-11-21,4539.767741227498,4351.845429770451,4714.32764640972
2023-11-22,4545.8439613351175,4356.111113374614,4736.074415926884
2023-11-24,4567.771846621848,4388.9356140068,4756.7087727601265
2023-11-27,4591.535568106366,4416.0868813995,4781.896919583997
2023-11-28,4597.607437294229,4419.020430613051,4776.857223342707
